"","x"
"1","BTC"
"2","ETH"
"3","USDT"
"4","BNB"
"5","ADA"
"6","DOT"
"7","XRP"
"8","UNI"
"9","LTC"
"10","THETA"
"11","LINK"
"12","USDC"
"13","BCH"
"14","XLM"
"15","KLAY"
"16","FIL"
"17","WBTC"
"18","LUNA"
"19","DOGE"
"20","VET"
"21","CRO"
"22","TRX"
"23","AAVE"
"24","SOL"
"25","KSM"
"26","ATOM"
"27","XMR"
"28","MIOTA"
"29","BTT"
"30","EOS"
"31","BSV"
"32","AVAX"
"33","BUSD"
"34","FTT"
"35","XTZ"
"36","XEM"
"37","ALGO"
"38","DAI"
"39","NEO"
"40","CHZ"
"41","HBAR"
"42","EGLD"
"43","HT"
"44","CAKE"
"45","LEO"
"46","TFUEL"
"47","SUSHI"
"48","DCR"
"49","MKR"
"50","DASH"
"51","SNX"
"52","NPXS"
"53","ENJ"
"54","GRT"
"55","BTMX"
"56","ZIL"
"57","NEAR"
"58","HOT"
"59","MATIC"
"60","COMP"
"61","RVN"
"62","ONE"
"63","BAT"
"64","BTCB"
"65","UST"
"66","ZEC"
"67","NEXO"
"68","RUNE"
"69","MANA"
"70","ETC"
"71","STX"
"72","UMA"
"73","ICX"
"74","BNT"
"75","WAVES"
"76","CHSB"
"77","CEL"
"78","YFI"
"79","ANKR"
"80","VGX"
"81","ONT"
"82","REV"
"83","ZRX"
"84","RSR"
"85","SC"
"86","DENT"
"87","DGB"
"88","REN"
"89","FTM"
"90","FLOW"
"91","AR"
"92","PAX"
"93","QTUM"
"94","IOST"
"95","OKB"
"96","OMG"
"97","HNT"
"98","HUSD"
"99","CRV"
"100","RENBTC"
"101","CELO"
"102","VTHO"
"103","CKB"
"104","BTG"
"105","LRC"
"106","NANO"
"107","OCEAN"
"108","1INCH"
"109","MVL"
"110","LSK"
"111","GLM"
"112","STORJ"
"113","LPT"
"114","ZEN"
"115","FET"
"116","KNC"
"117","HEDG"
"118","XVG"
"119","QNT"
"120","ZKS"
"121","STMX"
"122","ALPHA"
"123","EWT"
"124","ORBS"
"125","CELR"
"126","SNT"
"127","REEF"
"128","SKL"
"129","KCS"
"130","ANT"
"131","XVS"
"132","BAL"
"133","DODO"
"134","IOTX"
"135","WAXP"
"136","REP"
"137","FUN"
"138","POLY"
"139","KIN"
"140","TEL"
"141","TUSD"
"142","SWAP"
"143","BADGER"
"144","KAVA"
"145","COTI"
"146","CVC"
"147","BORA"
"148","MAID"
"149","ARDR"
"150","META"
"151","VLX"
"152","QKC"
"153","STEEM"
"154","SXP"
"155","BAND"
"156","TRAC"
"157","OXT"
"158","KMD"
"159","OGN"
"160","AGI"
"161","IQ"
"162","UTK"
"163","MED"
"164","ARK"
"165","ROSE"
"166","RIF"
"167","MFT"
"168","POLS"
"169","SRM"
"170","ALICE"
"171","NU"
"172","CVT"
"173","NMR"
"174","AVA"
"175","XHV"
"176","GNO"
"177","BTS"
"178","SPND"
"179","IRIS"
"180","WAN"
"181","AMPL"
"182","ELF"
"183","HIVE"
"184","JST"
"185","BCD"
"186","WOO"
"187","TOMO"
"188","NOIA"
"189","STRAX"
"190","LTO"
"191","RDD"
"192","SYS"
"193","CRE"
"194","SHR"
"195","UOS"
"196","SCRT"
"197","ZB"
"198","POWR"
"199","XOR"
"200","LIT"
